ISSN,Journal,Subject,JourQual,FT,Cnrs,EJL,ABS,Den,Hceres,Scopus,ABDC,Fnege,Meta,JourQual_n,FT_n,Cnrs_n,EJL_n,ABS_n,Den_n,Hceres_n,Scopus_n,ABDC_n,Fnege_n,Meta_n,princomp1,h_index,citedness,JourQual2,unjournal_tier
0007-6805,Business History Review,Bus Hist,NA,2,3,S,4,2,B,1.4,A,3,NA,NA,2,4,4,2,2,2,1.4,2,4,NA,-0.4654168834032694,65,0.5972850678733032,NA,3
0007-6813,Business Horizons,Gen & Strat,C,2,NA,NA,2,1,B,11.3,B,3,NA,6,2,NA,NA,4,3,2,11.3,3,4,NA,1.9945645777733771,167,6.523809523809524,C,4
1463-7154,Business Process Management Journal,"OR,MS,POM",C,2,3,NA,2,1,B,4.8,B,4,NA,6,2,4,NA,4,3,2,4.8,3,5,NA,2.2873942515325494,109,5.593103448275862,C,4
0964-4733,Business Strategy and the Environment,Gen & Strat,B,2,4,NA,3,1,B,10.3,A,3,B,4,2,5,NA,3,3,2,10.3,2,4,3,0.638061890420473,172,13.404354587869362,B,4
0955-6419,Business Strategy Review,Gen & Strat,C,2,NA,NA,1,NA,NA,NA,B,NA,NA,6,2,NA,NA,5,NA,NA,NA,3,NA,NA,3.3542578457058414,51,0,C,5
0008-1256,California Management Review,Gen & Strat,B,2,2,P*,3,2,A,8.6,A,2,B,4,2,3,1,3,2,1,8.6,2,3,3,-2.199012928483067,221,7.04,B,3
0309-166X,Cambridge Journal of Economics,Economics,NA,2,2,NA,3,2,A,3.5,A,3,NA,NA,2,3,NA,3,2,1,3.5,2,4,NA,-0.8351124690650996,130,2.032,NA,3
0825-0383,Canadian Journal of Administrative Sciences,Multidisciplinary,NA,2,NA,NA,2,1,B,2.1,B,3,NA,NA,2,NA,NA,4,3,2,2.1,3,4,NA,1.6338684199303397,NA,NA,NA,4
0008-4085,Canadian Journal of Economics,Economics,C,2,2,NA,3,1,A,1.6,A,NA,NA,6,2,3,NA,3,3,1,1.6,2,NA,NA,0.4292742481237546,154,1.6103896103896105,C,4
0309-8168,Capital and Class,Sociology,NA,2,NA,NA,2,1,B,2.0,B,NA,NA,NA,2,NA,NA,4,3,2,2,3,NA,NA,2.0106050598580265,NA,NA,NA,4
1362-0436,Career Development International,"OS/OB,HRM/IR",NA,2,NA,NA,2,1,C,4.2,B,4,NA,NA,2,NA,NA,4,3,3,4.2,3,5,NA,2.4100076420974883,98,3.9740259740259742,NA,4
0889-4019,Career Development Quarterly,"OS/OB,HRM/IR",NA,2,NA,NA,2,2,NA,3.0,NA,4,NA,NA,2,NA,NA,4,2,NA,3,NA,5,NA,1.2934393638294241,88,1.837837837837838,NA,4
1029-807X,China Accounting and Finance Review,F&A,NA,2,NA,NA,NA,NA,NA,NA,A,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,-0.21989593517080264,8,0.96875,NA,3
1043-951X,China Economic Review,Economics,NA,2,2,NA,2,1,A,4.6,A,NA,NA,NA,2,3,NA,4,3,1,4.6,2,NA,NA,0.31542336627170475,116,6.070247933884297,NA,4
0305-7410,China Quarterly,Economics,NA,2,NA,NA,2,2,NA,3.8,A,NA,NA,NA,2,NA,NA,4,2,NA,3.8,2,NA,NA,0.020111377816131194,NA,NA,NA,3
1873-7838,Cognition,Psychology,NA,2,NA,NA,4,2,NA,5.5,NA,NA,NA,NA,2,NA,NA,2,2,NA,5.5,NA,NA,NA,-2.580790468578021,321,3.370716510903427,NA,3
0010-0285,Cognitive Psychology,Psychology,NA,2,NA,NA,NA,2,NA,5.7,A,NA,NA,NA,2,NA,NA,NA,2,NA,5.7,2,NA,NA,-0.9855957956352235,258,2.523076923076923,NA,3
1551-6709,Cognitive Science,Psychology,NA,2,NA,NA,3,2,NA,4.8,NA,NA,NA,NA,2,NA,NA,3,2,NA,4.8,NA,NA,NA,-1.1481386032328444,NA,NA,NA,3
0363-7751,Communication Monographs,Comm,NA,2,NA,NA,NA,2,NA,7.7,A,NA,NA,NA,2,NA,NA,NA,2,NA,7.7,2,NA,NA,-0.9855957956352235,127,2.8372093023255816,NA,3
0093-6502,Communication Research,Comm,NA,2,NA,S,NA,2,NA,9.4,A,NA,NA,NA,2,NA,4,NA,2,NA,9.4,2,NA,NA,-0.061554610620959,168,4.031746031746032,NA,3
1050-3293,Communication Theory,Comm,NA,2,NA,NA,NA,2,NA,4.6,A,NA,NA,NA,2,NA,NA,NA,2,NA,4.6,2,NA,NA,-0.9855957956352235,112,3.066666666666667,NA,3
0001-0782,Communications of the ACM,"MIS, KM",B,2,NA,P,2,2,NA,11.3,A,NA,B,4,2,NA,2,4,2,NA,11.3,2,NA,3,-1.2301267909182438,403,4.776337115072933,B,3
1529-3181,Communications of the Association for Information Systems,"MIS, KM",C,2,4,NA,2,2,C,3.3,A,4,B,6,2,5,NA,4,2,3,3.3,2,5,3,1.671921737396013,85,1.7891566265060241,C,4
0010-4159,Comparative Politics,Sociology,NA,2,NA,NA,NA,2,NA,2.0,A,NA,NA,NA,2,NA,NA,NA,2,NA,2,2,NA,NA,-0.9855957956352235,120,2.3333333333333335,NA,3
1024-5294,Competition and Change,Sociology,NA,2,3,NA,2,1,B,3.5,B,3,NA,NA,2,4,NA,4,3,2,3.5,3,4,NA,1.5353981885528125,NA,NA,NA,4
1262-2788,Comptabilité - Contrôle - Audit,F&A,NA,2,2,NA,NA,NA,A,NA,B,2,NA,NA,2,3,NA,NA,NA,1,NA,3,3,NA,-0.6048381935225616,3,0,NA,3
0010-4620,Computer Journal,"MIS, KM",NA,2,NA,NA,2,2,NA,2.6,C,NA,NA,NA,2,NA,NA,4,2,NA,2.6,4,NA,NA,1.803180076833863,137,1.6780045351473922,NA,4
0360-8352,Computers and Industrial Engineering,"OR,MS,POM",B,2,3,S,2,1,B,7.9,A,3,NA,4,2,4,4,4,3,2,7.9,2,4,NA,0.7660521894791497,NA,NA,B,4
0305-0548,Computers and Operations Research,"OR,MS,POM",B,2,2,P,3,1,A,8.2,A,NA,B,4,2,3,2,3,3,1,8.2,2,NA,3,-1.1467533792295783,14,0,B,3
0747-5632,Computers in Human Behavior,"MIS, KM",NA,2,NA,NA,2,1,NA,13.8,A,NA,B,NA,2,NA,NA,4,3,NA,13.8,2,NA,3,1.1190707103491604,281,11.793148880105402,NA,4
0823-9150,Contemporary Accounting Research,F&A,A,1,2,P*,4,2,A,4.3,A*,1,A,2,1,3,1,2,2,1,4.3,1,2,2,-5.038029173686186,167,4.00507614213198,A,2
1074-3529,Contemporary Economic Policy,Economics,NA,2,NA,NA,2,1,NA,1.9,B,NA,NA,NA,2,NA,NA,4,3,NA,1.9,3,NA,NA,2.0106050598580265,80,1.7789473684210526,NA,4
0094-3061,Contemporary Sociology,Sociology,NA,2,NA,NA,NA,1,NA,2.1,C,NA,NA,NA,2,NA,NA,NA,3,NA,2.1,4,NA,NA,3.7207555920608852,511,1.1466165413533835,NA,5
0277-5921,Contributions to Political Economy,Economics,NA,2,NA,NA,2,1,C,0.4,B,NA,NA,NA,2,NA,NA,4,3,3,0.4,3,NA,NA,2.0106050598580265,30,1.78125,NA,4
0964-8410,Corporate Governance: An International Review,IB,C,2,3,S,3,1,B,3.7,A,3,B,6,2,4,4,3,3,2,3.7,2,4,3,0.9333824635687027,NA,NA,C,4
1472-0701,Corporate Governance: The International Journal of Busin,Gen & Strat,C,2,NA,NA,2,1,NA,NA,C,NA,NA,6,2,NA,NA,4,3,NA,NA,4,NA,NA,3.004376485724157,NA,NA,C,5
1363-3589,Corporate Reputation Review,"OS/OB,HRM/IR",D,2,NA,S,1,1,NA,1.7,C,NA,NA,8,2,NA,4,5,3,NA,1.7,4,NA,NA,4.234079663406201,88,1.9591836734693877,D,5
0963-1690,Creativity and Innovation Management,Innovation,C,2,3,NA,2,2,B,5.2,C,3,B,6,2,4,NA,4,2,2,5.2,4,4,3,1.672518254566925,89,3.424,C,4
1740-5904,Critical Discourse Studies,Comm,NA,2,NA,NA,NA,2,NA,3.2,B,NA,NA,NA,2,NA,NA,NA,2,NA,3.2,3,NA,NA,0.4880302265652846,55,1.6145833333333333,NA,4
2164-5744,Critical Finance Review,F&A,NA,2,NA,NA,1,1,NA,2.00,A*,NA,B,NA,2,NA,NA,5,3,NA,2,1,NA,3,1.3469561952728022,26,3.375,NA,4
1045-2354,Critical Perspectives on Accounting,F&A,B,2,2,NA,3,1,A,6.6,A,2,B,4,2,3,NA,3,3,1,6.6,2,3,3,-0.7600731112305075,110,6.032,B,3
1742-2043,Critical Perspectives on International Business,IB,NA,2,4,NA,2,1,C,2.5,B,4,NA,NA,2,5,NA,4,3,3,2.5,3,5,NA,2.6968325029772777,42,2.5714285714285716,NA,5
1529-5036,Critical Studies in Media Communication,Comm,NA,2,NA,NA,NA,1,NA,2.0,C,NA,NA,NA,2,NA,NA,NA,3,NA,2,4,NA,NA,3.7207555920608852,61,1.382716049382716,NA,5
2059-5794,Cross Cultural and Strategic Management,"OS/OB,HRM/IR",C,2,3,NA,2,1,B,3.8,B,4,NA,6,2,4,NA,4,3,2,3.8,3,5,NA,2.2873942515325494,NA,NA,C,4
1475-9551,Culture and Organization,Sociology,D,2,4,NA,2,1,C,2.1,B,4,NA,8,2,5,NA,4,3,3,2.1,3,5,NA,3.485620785357258,39,1.5,D,5
1467-8721,Current Directions in Psychological Science,Psychology,NA,2,NA,NA,4,1,NA,9.0,NA,NA,NA,NA,2,NA,NA,2,3,NA,9,NA,NA,NA,-1.2545526842241486,245,8.278571428571428,NA,3
1368-3500,Current Issues in Tourism,Tourism,NA,2,NA,NA,2,1,B,8.6,A,3,NA,NA,2,NA,NA,4,3,2,8.6,2,4,NA,0.9849219065503058,116,5.758555133079848,NA,4
0169-023X,Data and Knowledge Engineering,"MIS, KM",B,2,NA,NA,NA,2,NA,4.7,A,NA,NA,4,2,NA,NA,NA,2,NA,4.7,2,NA,NA,-1.1096013120073793,NA,NA,B,3
0011-7315,Decision Sciences,"OR,MS,POM",B,2,2,P,3,2,A,4.2,A*,2,A,4,2,3,2,3,2,1,4.2,1,3,2,-2.216174836968068,165,1.54,B,3
0167-9236,Decision Support Systems,"MIS, KM",B,2,2,P,3,2,A,10.5,A*,2,A,4,2,3,2,3,2,1,10.5,1,3,2,-2.216174836968068,NA,NA,B,3
0070-3370,Demography,Economics,NA,2,1,NA,NA,2,A,5.1,A,NA,NA,NA,2,2,NA,NA,2,1,5.1,2,NA,NA,-2.399090118325377,206,4.029556650246305,NA,3
0012-1533,Developing Economies,Economics,NA,2,NA,NA,NA,1,NA,1.3,B,NA,NA,NA,2,NA,NA,NA,3,NA,1.3,3,NA,NA,2.2471295698603773,54,0.5222222222222223,NA,4
0012-155X,Development and Change,Sociology,NA,2,2,S,3,2,A,3.8,B,3,NA,NA,2,3,4,3,2,1,3.8,3,4,NA,-0.012031066907251135,129,3.088235294117647,NA,3
0957-9265,Discourse and Society,Comm,NA,2,NA,NA,NA,2,NA,2.6,A,NA,NA,NA,2,NA,NA,NA,2,NA,2.6,2,NA,NA,-0.9855957956352235,42,0.42857142857142855,NA,3
0921-8009,Ecological Economics,Economics,B,2,1,NA,3,1,A,9.1,A,2,B,4,2,2,NA,3,3,1,9.1,2,3,3,-1.22688392302701,287,7.065079365079365,B,3
0747-4938,Econometric Reviews,Economics,NA,2,2,NA,3,1,A,2.4,A,3,NA,NA,2,3,NA,3,3,1,2.4,2,4,NA,-0.14084377004066148,106,0.73,NA,3
0266-4666,Econometric Theory,Economics,NA,2,1,NA,4,2,A,2.5,A*,1,NA,NA,2,2,NA,2,2,1,2.5,1,2,NA,-3.674476611030803,131,0.7890625,NA,2
0012-9682,Econometrica,Economics,A+,2,1*,NA,4*,3,A,7.9,A*,1*,A+,1,2,1,NA,1,1,1,7.9,1,1,1,-6.326958810954565,508,7.487704918032787,A+,1
1368-4221,Econometrics Journal,Economics,NA,1,2,NA,3,2,A,4.3,A,3,NA,NA,1,3,NA,3,2,1,4.3,2,4,NA,-2.00902296939308,NA,NA,NA,3
0143-831X,Economic and Industrial Democracy,Economics,NA,2,3,NA,3,1,B,3.4,A,3,NA,NA,2,4,NA,3,3,2,3.4,2,4,NA,0.439029452697689,60,1.6761904761904762,NA,4
1573-9414,Economic Change and Restructuring,Economics,NA,2,4,NA,1,1,C,3.1,B,NA,NA,NA,2,5,NA,5,3,3,3.1,3,NA,NA,3.282398394339457,41,4.608974358974359,NA,5
0013-0079,Economic Development and Cultural Change,Sociology,NA,2,1,NA,3,1,A,2.5,A,NA,NA,NA,2,2,NA,3,3,1,2.5,2,NA,NA,-1.2157459943102138,147,2.265957446808511,NA,3
0891-2424,Economic Development Quarterly,PSM,NA,2,2,NA,NA,1,A,2.4,B,NA,NA,NA,2,3,NA,NA,3,1,2.4,3,NA,NA,0.6458744879341852,72,1.0588235294117647,NA,4
0013-0095,Economic Geography,Economics,NA,2,1,NA,4,2,A,10.2,A,1,NA,NA,2,2,NA,2,2,1,10.2,2,2,NA,-3.139786123729539,NA,NA,NA,2
0013-0117,Economic History Review,Economics,NA,2,1,NA,4,2,A,2.3,A,NA,NA,NA,2,2,NA,2,2,1,2.3,2,NA,NA,-2.799257133045029,142,0.9637305699481865,NA,2
0095-2583,Economic Inquiry,Economics,NA,2,2,NA,3,1,A,2.3,A,3,NA,NA,2,3,NA,3,3,1,2.3,2,4,NA,-0.14084377004066148,144,2.085227272727273,NA,3
1363-7029,Economic Issues,Economics,NA,2,NA,NA,1,1,NA,NA,B,NA,NA,NA,2,NA,NA,5,3,NA,NA,3,NA,NA,3.3469525910144236,15,0,NA,5
0013-0133,Economic Journal,Economics,A,2,1,NA,4,2,A,5.9,A*,1,NA,2,2,2,NA,2,2,1,5.9,1,2,NA,-3.9593500683559353,NA,NA,A,2
0264-9993,Economic Modelling,Economics,NA,2,2,NA,2,1,A,4.0,A,3,NA,NA,2,3,NA,4,3,1,4,2,4,NA,0.4208344785131981,129,4.948680351906158,NA,4
0266-4658,Economic Policy,Economics,NA,2,2,NA,3,1,A,10.9,A,NA,NA,NA,2,3,NA,3,3,1,10.9,2,NA,NA,-0.43608260238338487,132,2.86734693877551,NA,3
0013-0249,Economic Record,Economics,NA,2,3,NA,2,1,B,1.3,A,NA,NA,NA,2,4,NA,4,3,2,1.3,2,NA,NA,1.095086758198535,84,0.4696969696969697,NA,4
0938-2259,Economic Theory,Economics,NA,2,1,NA,3,1,A,2.0,A*,NA,NA,NA,2,2,NA,3,3,1,2,1,NA,NA,-1.8718882698692187,99,1.4797297297297298,NA,3
0013-0427,Economica,Economics,NA,2,2,NA,3,1,A,2.9,A,3,NA,NA,2,3,NA,3,3,1,2.9,2,4,NA,-0.14084377004066148,NA,NA,NA,3
0266-2671,Economics and Philosophy,Economics,NA,2,2,NA,2,1,A,1.2,A,NA,NA,NA,2,3,NA,4,3,1,1.2,2,NA,NA,0.31542336627170475,71,1.4805194805194806,NA,4
0954-1985,Economics and Politics,Economics,NA,2,3,NA,2,1,B,2.5,A,NA,NA,NA,2,4,NA,4,3,2,2.5,2,NA,NA,1.095086758198535,76,1.3783783783783783,NA,4
0165-1765,Economics Letters,Economics,B,2,3,NA,3,1,B,2.7,A,3,B,4,2,4,NA,3,3,2,2.7,2,4,3,0.17125107862397027,183,2.7236180904522613,B,3
0272-7757,Economics of Education Review,Education,NA,2,2,NA,2,2,A,3.2,A,NA,NA,NA,2,3,NA,4,2,1,3.2,2,NA,NA,-0.5165818038080231,148,2.3511904761904763,NA,3
1043-8599,Economics of Innovation and New Technology,Entrep,B,2,3,NA,2,1,B,3.5,B,4,NA,4,2,4,NA,4,3,2,3.5,3,5,NA,1.5559785295043442,87,2.652173913043478,B,4
0967-0750,Economics of Transition,Economics,NA,2,2,S,2,1,A,NA,A,NA,NA,NA,2,3,4,4,3,1,NA,2,NA,NA,0.5564566459036566,78,0,NA,4
0308-5147,Economy and Society,Economics,NA,2,2,NA,3,2,A,2.9,A,3,NA,NA,2,3,NA,3,2,1,2.9,2,4,NA,-0.8351124690650996,NA,NA,NA,3
1557-3060,Education Finance and Policy,Education/Econ,NA,2,NA,NA,NA,1,NA,4.4,A,NA,NA,NA,2,NA,NA,NA,3,NA,4.4,2,NA,NA,0.7735035476598682,52,2.6607142857142856,NA,4
0013-1644,Educational and Psychological Measurement,Education,NA,2,NA,NA,NA,2,NA,3.8,A,NA,NA,NA,2,NA,NA,NA,2,NA,3.8,2,NA,NA,-0.9855957956352235,173,2.1140350877192984,NA,3
0013-1881,Educational Research,Education,NA,2,NA,NA,NA,2,NA,2.9,NA,NA,NA,NA,2,NA,NA,NA,2,NA,2.9,NA,NA,NA,-1.0212357357474136,86,2.066666666666667,NA,3
1389-5753,Electronic Commerce Research,"MIS, KM",C,2,NA,NA,2,1,NA,5.3,A,4,NA,6,2,NA,NA,4,3,NA,5.3,2,5,NA,2.0357414953738378,63,4.065326633165829,C,4
1567-4223,Electronic Commerce Research and Applications,"MIS, KM",C,2,4,S,2,2,B,7.4,C,4,B,6,2,5,4,4,2,2,7.4,4,5,3,2.3897956712731694,110,6.510989010989011,C,4
1019-6781,Electronic Markets,"MIS, KM",B,2,3,NA,2,1,B,7.4,A,3,B,4,2,4,NA,4,3,2,7.4,2,4,3,0.6255047979336751,NA,NA,B,4
1566-0141,Emerging Markets Review,F&A,NA,2,3,NA,2,1,B,5.3,A,3,B,NA,2,4,NA,4,3,2,5.3,2,4,3,1.0007077012515484,82,6.103448275862069,NA,4
0340-8744,Empirica,Economics,NA,2,NA,NA,1,1,NA,1.8,C,NA,NA,NA,2,NA,NA,5,3,NA,1.8,4,NA,NA,4.021559243799406,48,2.4285714285714284,NA,5
0377-7332,Empirical Economics,Economics,NA,2,4,NA,2,1,C,2.0,A,NA,NA,NA,2,5,NA,4,3,3,2,2,NA,NA,1.8747501501253647,96,2.1263736263736264,NA,4
0142-5455,Employee Relations,"OS/OB,HRM/IR",B,2,4,NA,2,1,B,2.8,B,3,NA,4,2,5,NA,4,3,2,2.8,3,4,NA,1.5582759632428729,83,3.5170068027210886,B,4
0140-9883,Energy Economics,Economics,B,2,2,NA,3,2,A,10.0,A*,NA,A,4,2,3,NA,3,2,1,10,1,NA,2,-1.783367204131042,240,15.031606672519754,B,3
0195-6574,Energy Journal,Economics,NA,2,1,NA,3,1,A,4.4,A,2,NA,NA,2,2,NA,3,3,1,4.4,2,3,NA,-1.0593432162434417,NA,NA,NA,3
0301-4215,Energy Policy,Economics,B,2,2,NA,2,2,A,10.2,A,2,B,4,2,3,NA,4,2,1,10.2,2,3,3,-0.9221423643411476,306,10.592819614711033,B,3
1467-2227,Enterprise and Society,Bus Hist,NA,2,3,S,3,2,B,0.9,A,3,NA,NA,2,4,4,3,2,2,0.9,2,4,NA,-0.011192892011112544,NA,NA,NA,3
0898-5626,Entrepreneurship and Regional Development,Entrep,B,2,NA,S,3,2,A,5.8,A,2,B,4,2,NA,4,3,2,1,5.8,2,3,3,-0.8638331700208305,NA,NA,B,3
1042-2587,Entrepreneurship Theory and Practice,Entrep,A,1,1,P,4,2,A,17.7,A*,1,A,2,1,2,2,2,2,1,17.7,1,2,2,-5.028712672200774,261,8.0234375,A,2
0308-518X,Environment and Planning A,PSM,NA,2,2,NA,3,2,A,5.6,A*,2,B,NA,2,3,NA,3,2,1,5.6,1,3,3,-1.951364048052478,NA,NA,NA,3
0265-8135,Environment and Planning B: Planning and Design,PSM,NA,2,NA,NA,NA,2,NA,NA,A*,NA,NA,NA,2,NA,NA,NA,2,NA,NA,1,NA,NA,-2.459221817835735,NA,NA,NA,3
0263-774X,Environment and Planning C: Government and Policy,PSM,NA,2,NA,NA,3,2,NA,NA,B,NA,NA,NA,2,NA,NA,3,2,NA,NA,3,NA,NA,-0.20777410710751315,90,0,NA,3
0263-7758,Environment and Planning D: Society and Space,PSM,NA,2,NA,NA,4,2,NA,6.3,A,4,B,NA,2,NA,NA,2,2,NA,6.3,2,5,3,-0.5433016410812904,NA,NA,NA,3
0924-6460,Environmental and Resource Economics,Economics,NA,2,2,NA,3,1,A,4.2,A,2,NA,NA,2,3,NA,3,3,1,4.2,2,3,NA,-0.7224048617267768,NA,NA,NA,3
0966-8136,Europe-Asia Studies,IB,NA,2,3,NA,2,2,B,2.0,C,4,NA,NA,2,4,NA,4,2,2,2,4,5,NA,1.9573810685157536,74,0.9331395348837209,NA,4
0963-8180,European Accounting Review,F&A,A,2,2,P,3,2,A,3.7,A*,2,B,2,2,3,2,3,2,1,3.7,1,3,3,-2.771536594631517,118,3.2100840336134455,A,2
0955-534X,European Business Review,Gen & Strat,NA,2,3,NA,2,1,B,5.3,B,3,B,NA,2,4,NA,4,3,2,5.3,3,4,3,1.5353981885528125,70,4.088235294117647,NA,4
0014-2921,European Economic Review,Economics,B,2,1,NA,3,2,A,3.0,A*,2,NA,4,2,2,NA,3,2,1,3,1,3,NA,-2.3091672489600503,235,3.8533333333333335,B,3
1354-7798,European Financial Management,F&A,B,2,3,S,3,1,B,2.3,A,3,B,4,2,4,4,3,3,2,2.3,2,4,3,0.37802070590525333,98,2.5,B,4
0267-3231,European Journal of Communication,Comm,NA,2,NA,NA,NA,2,NA,5.8,B,NA,NA,NA,2,NA,NA,NA,2,NA,5.8,3,NA,NA,0.4880302265652846,96,0.8792270531400966,NA,4
1351-847X,European Journal of Finance,F&A,B,2,4,S,3,1,B,2.3,A,3,B,4,2,5,4,3,3,2,2.3,2,4,3,0.7751337534218841,72,2.4554973821989527,B,4
1618-7598,European Journal of Health Economics,Economics,B,2,2,NA,2,1,A,4.3,A,NA,B,4,2,3,NA,4,3,1,4.3,2,NA,3,-0.012319228839124848,79,3.296774193548387,B,3
0959-6801,European Journal of Industrial Relations,"OS/OB,HRM/IR",C,2,3,S,3,2,B,2.5,A,3,B,6,2,4,4,3,2,2,2.5,2,4,3,0.36510937445584846,63,2.3863636363636362,C,4
0960-085X,European Journal of Information Systems,"MIS, KM",A,2,1,P,4,2,A,7.7,A*,1,A,2,2,2,2,2,2,1,7.7,1,2,2,-3.9490399764747512,142,7.5,A,2
1460-1060,European Journal of Innovation Management,Innovation,C,2,4,NA,1,1,C,5.7,C,4,NA,6,2,5,NA,5,3,3,5.7,4,5,NA,3.674419136151452,97,5.240816326530612,C,5
1751-6757,European Journal of International Management,IB,B,2,4,NA,2,1,C,3.7,C,4,NA,4,2,5,NA,4,3,3,3.7,4,5,NA,2.4887496948135417,32,0.3602150537634409,B,4
0309-0566,European Journal of Marketing,Marketing,C,2,3,S,3,2,B,4.7,A*,2,B,6,2,4,4,3,2,2,4.7,1,3,3,-0.45084093378390144,208,4.367588932806324,C,3
0377-2217,European Journal of Operational Research,"OR,MS,POM",A,2,1,P,4,1,A,9.5,A*,1,A,2,2,2,2,2,3,1,9.5,1,2,2,-3.380766887361897,362,6.897209985315712,A,2
0890-2070,European Journal of Personality,Psychology,NA,2,NA,NA,NA,2,NA,6.5,A,NA,NA,NA,2,NA,NA,NA,2,NA,6.5,2,NA,NA,-0.9855957956352235,133,3.591666666666667,NA,3
0176-2680,European Journal of Political Economy,Economics,NA,2,2,NA,2,1,A,3.4,A,3,NA,NA,2,3,NA,4,3,1,3.4,2,4,NA,0.4208344785131981,130,2.949438202247191,NA,4
0304-4130,European Journal of Political Research,Sociology,NA,2,NA,NA,NA,2,NA,6.4,A,NA,NA,NA,2,NA,NA,NA,2,NA,6.4,2,NA,NA,-0.9855957956352235,155,3.5369127516778525,NA,3
0046-2772,European Journal of Social Psychology,Psychology,NA,2,NA,NA,3,2,NA,4.4,A,NA,NA,NA,2,NA,NA,3,2,NA,4.4,2,NA,NA,-1.0993084566163815,177,2.815668202764977,NA,3
0003-9756,European Journal of Sociology,Sociology,NA,2,NA,NA,NA,2,NA,NA,A,NA,NA,NA,2,NA,NA,NA,2,NA,NA,2,NA,NA,-0.9855957956352235,2,0.14285714285714285,NA,3
0967-2567,European Journal of the History of Economic Thought,Economics,NA,2,1,NA,2,1,A,1.1,B,3,NA,NA,2,2,NA,4,3,1,1.1,3,4,NA,0.37565174307611154,33,0.5067567567567568,NA,4
2046-9012,European Journal of Training and Development,"OS/OB,HRM/IR",NA,2,NA,NA,1,NA,NA,2.8,C,NA,NA,NA,2,NA,NA,5,NA,NA,2.8,4,NA,NA,4.770203255089646,45,2.6859504132231407,NA,5
1359-432X,European Journal of Work and Organizational Psychology,"OS/OB,HRM/IR",B,2,4,S,3,1,B,5.7,A,3,B,4,2,5,4,3,3,2,5.7,2,4,3,0.7751337534218841,132,4.681034482758621,B,4
0263-2373,European Management Journal,Gen & Strat,B,2,3,S,2,1,B,6.4,B,3,B,4,2,4,4,4,3,2,6.4,3,4,3,1.1896436469661935,153,7.4941176470588236,B,4
1740-4754,European Management Review,Gen & Strat,B,2,3,S,3,1,A,2.8,C,2,B,4,2,4,4,3,3,1,2.8,4,3,3,0.8328447701266343,66,3.2672413793103448,B,4
0965-4313,European Planning Studies,PSM,NA,2,NA,NA,2,1,NA,4.6,NA,4,NA,NA,2,NA,NA,4,3,NA,4.6,NA,5,NA,2.2174306410874416,112,3.140468227424749,NA,4
0165-1587,European Review of Agricultural Economics,Economics,NA,2,2,NA,3,1,A,4.3,A,NA,NA,NA,2,3,NA,3,3,1,4.3,2,NA,NA,-0.43608260238338487,96,2.9555555555555557,NA,3
1361-4916,European Review of Economic History,Economics,NA,2,2,NA,3,1,A,1.6,A,NA,NA,NA,2,3,NA,3,3,1,1.6,2,NA,NA,-0.43608260238338487,62,1.36,NA,3
1356-3890,Evaluation,PSM,NA,2,3,NA,2,2,B,3.0,B,3,NA,NA,2,4,NA,4,2,2,3,3,4,NA,0.8411294895283747,68,1.6097560975609757,NA,4
0193-841X,Evaluation Review,PSM,NA,2,NA,NA,NA,1,NA,3.1,A,NA,NA,NA,2,NA,NA,NA,3,NA,3.1,2,NA,NA,0.7735035476598682,89,1.650943396226415,NA,4
1386-4157,Experimental Economics,Economics,A,2,1,NA,3,2,A,3.5,A*,NA,A,2,2,2,NA,3,2,1,3.5,1,NA,2,-3.349514130568863,96,2.3877551020408165,A,2
0266-4720,Expert Systems,"MIS, KM",NA,2,NA,NA,2,1,NA,3.4,NA,NA,NA,NA,2,NA,NA,4,3,NA,3.4,NA,NA,NA,1.6107510464662056,63,3.4905008635578585,NA,4
0957-4174,Expert Systems with Applications,"MIS, KM",NA,2,3,NA,1,2,B,12.7,C,3,B,NA,2,4,NA,5,2,2,12.7,4,4,3,1.7423260695908234,282,8.90968848242355,NA,4
0014-4983,Explorations in Economic History,Economics,NA,2,2,NA,3,1,A,2.9,A,NA,NA,NA,2,3,NA,3,3,1,2.9,2,NA,NA,-0.43608260238338487,89,2.890909090909091,NA,3
0894-4865,Family Business Review,"OS/OB,HRM/IR",B,2,2,S,3,1,A,9.7,A,2,B,4,2,3,4,3,3,1,9.7,2,3,3,-0.4114511923640838,162,8.517241379310345,B,3
0752-6180,Finance,F&A,NA,2,2,NA,1,NA,A,0.1,C,2,NA,NA,2,3,NA,5,NA,1,0.1,4,3,NA,1.2860889590536029,NA,NA,NA,4
0949-2984,Finance and Stochastics,F&A,B,2,3,S,3,2,A,3.6,A,2,B,4,2,4,4,3,2,1,3.6,2,3,3,-0.5826112339603072,103,1.4680851063829787,B,3
1544-6123,Finance Research Letters,F&A,B,2,3,NA,2,1,B,5.3,A,3,B,4,2,4,NA,4,3,2,5.3,2,4,3,0.6230285851064693,119,9.307359307359308,B,4
0267-4424,Financial Accountability and Management,F&A,C,2,3,S,3,2,B,2.8,A,3,B,6,2,4,4,3,2,2,2.8,2,4,3,0.36510937445584846,1,0.05319148936170213,C,4
